"ACCREDAGENCY","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","CONTROL"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X22","X18","X12","X14","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X19","X11","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X14","X5","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Association.of.Advanced.Rabbinical.and.Talmudic.Schools","X13","X24","X10","X8","X0","X0","X0","X0","X0","X0","X0","X1","X0","X0","X2"
"Accrediting.Commission.of.Career.Schools.and.Colleges","X11","X22","X5","X6","X0","X1","X0","X0","X0","X1","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X18","X15","X14","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Transnational.Association.of.Christian.Colleges.and.Schools","X11","X22","X11","X7","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Association.for.Bibical.Higher.Educaiton","X21","X24","X11","X7","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X14","X5","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X22","X11","X10","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X31","X22","X11","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X18","X9","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X23","X7","X10","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X21","X12","X8","X0","X0","X0","X0","X0","X0","X0","X0","X1","X0","X2"
"Council.on.Occupational.Education","X21","X13","X4","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X8","X1","X2","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X19","X7","X13","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X14","X11","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X30","X7","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X7","X1","X3","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X22","X11","X10","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X23","X5","X9","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"American.Bar.Association","X11","X31","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X16","X10","X14","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X7","X1","X3","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X23","X20","X14","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Transnational.Association.of.Christian.Colleges.and.Schools","X11","X24","X5","X6","X0","X1","X0","X0","X1","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X18","X7","X10","X0","X0","X0","X0","X0","X0","X0","X0","X1","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X42","X21","X11","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Council.on.Occupational.Education","X11","X13","X1","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X23","X7","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X8","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X19","X9","X12","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X7","X1","X2","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X18","X7","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X8","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X21","X14","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X22","X7","X12","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X26","X11","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X33","X14","X10","X9","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X22","X10","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X15","X15","X17","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X14","X5","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X31","X19","X11","X11","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X15","X14","X17","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X19","X9","X10","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X18","X14","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X16","X15","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X15","X9","X15","X0","X1","X0","X0","X1","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X15","X15","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X23","X6","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X7","X1","X3","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"American.Board.of.Funeral.Service.Education.Committee.on.Accreditation","X21","X12","X4","X1","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Accrediting.Council.for.Independent.Colleges.and.Schools","X21","X8","X2","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X8","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X11","X24","X0","X18","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X22","X13","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X7","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X26","X11","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X8","X1","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X16","X15","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X21","X10","X11","X1","X0","X0","X0","X0","X0","X0","X1","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X25","X0","X18","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X7","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X21","X21","X14","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Transnational.Association.of.Christian.Colleges.and.Schools","X12","X22","X11","X8","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X18","X11","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X20","X11","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X8","X1","X3","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X30","X13","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X20","X11","X14","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X20","X11","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X41","X8","X2","X2","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X11","X21","X14","X11","X1","X0","X0","X0","X0","X0","X0","X0","X1","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X19","X5","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X22","X11","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X32","X22","X10","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X23","X9","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X13","X17","X13","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X12","X21","X13","X8","X0","X0","X0","X0","X0","X0","X0","X0","X1","X0","X2"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X31","X17","X11","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Southern.Association.of.Colleges.and.Schools.Commission.on.Colleges","X43","X21","X12","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X13","X9","X0","X0","X1","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X33","X17","X11","X13","X0","X0","X1","X0","X1","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X15","X13","X16","X0","X0","X1","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X9","X12","X0","X0","X0","X0","X1","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X11","X8","X1","X2","X0","X0","X1","X0","X1","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X11","X5","X1","X3","X0","X0","X1","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X33","X7","X1","X2","X0","X0","X1","X0","X1","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X21","X2","X2","X3","X0","X0","X1","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X13","X14","X5","X9","X0","X0","X1","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X21","X22","X5","X9","X0","X0","X1","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X22","X3","X1","X2","X0","X0","X1","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X12","X10","X3","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Association.for.Bibical.Higher.Educaiton","X21","X24","X11","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Northwest.Commission.on.Colleges.and.Universities","X12","X16","X9","X15","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Northwest.Commission.on.Colleges.and.Universities","X13","X7","X2","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Northwest.Commission.on.Colleges.and.Universities","X13","X16","X7","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Northwest.Commission.on.Colleges.and.Universities","X32","X16","X13","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Northwest.Commission.on.Colleges.and.Universities","X22","X21","X12","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Northwest.Commission.on.Colleges.and.Universities","X13","X22","X7","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Northwest.Commission.on.Colleges.and.Universities","X13","X2","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Northwest.Commission.on.Colleges.and.Universities","X22","X18","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Northwest.Commission.on.Colleges.and.Universities","X32","X22","X5","X15","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Northwest.Commission.on.Colleges.and.Universities","X33","X6","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X26","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Accrediting.Commission.of.Career.Schools.and.Colleges","X11","X30","X6","X6","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X11","X30","X15","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X13","X21","X12","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X17","X13","X12","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X9","X2","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X32","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X13","X6","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X32","X21","X10","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X33","X26","X11","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X12","X18","X14","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X41","X6","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X11","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X25","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X11","X18","X7","X9","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X11","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X11","X15","X14","X17","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X11","X6","X1","X3","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X9","X1","X3","X0","X1","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X3","X1","X2","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X6","X1","X3","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X6","X2","X3","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X2","X2","X4","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X3","X1","X4","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X19","X11","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X18","X13","X11","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X2"
"Accrediting.Commission.of.Career.Schools.and.Colleges","X11","X7","X4","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Higher.Learning.Commission","X13","X6","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X16","X13","X15","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X6","X1","X5","X0","X0","X0","X0","X1","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X21","X10","X6","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X18","X13","X14","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X12","X5","X1","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X21","X18","X13","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X31","X22","X13","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X10","X4","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X13","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X41","X18","X5","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X32","X20","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X13","X24","X11","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X6","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X21","X25","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X11","X15","X13","X15","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X21","X17","X13","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X13","X15","X14","X17","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X21","X14","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X2","X1","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X32","X21","X14","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X33","X6","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X16","X15","X14","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X22","X16","X13","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X9","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X23","X9","X2","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"American.Bar.Association","X11","X31","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X41","X8","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X21","X5","X1","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X12","X20","X7","X10","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X13","X9","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X6","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X8","X2","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X32","X21","X12","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X6","X1","X4","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X21","X21","X14","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X29","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X9","X2","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X26","X11","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X23","X9","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X21","X18","X13","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X24","X7","X7","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X23","X7","X7","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X12","X6","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X16","X14","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X11","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X13","X26","X7","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X11","X13","X3","X1","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X22","X12","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X11","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X41","X9","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X21","X18","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X11","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X12","X26","X5","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X13","X22","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X21","X12","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X11","X24","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X9","X2","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Council.on.Occupational.Education","X32","X11","X4","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X5","X1","X3","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X17","X7","X12","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X26","X5","X7","X0","X0","X0","X0","X1","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X12","X19","X15","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X11","X18","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Commission.on.Accrediting.of.the.Association.of.Theological.Schools","X21","X24","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X23","X16","X13","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X7","X1","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
