"CITY","STABBR","ACCREDAGENCY","SCH_DEG","HCM2","MAIN","NUMBRANCH","CONTROL","REGION","LOCALE","LATITUDE","LONGITUDE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","ADM_RATE","ACTCM25","ACTWR25","ACTWR75"
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"12","33.652535","-86.707233","8","1","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tanner","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"41","34.645844","-86.949674","2","1","4","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Marion","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"43","32.629253","-87.315206","21","9","7","0","0","0","0","0","0","0","0","1","54","0.507","18","NULL","NULL"
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","1",0,1,1,1,5,"12","33.450814","-86.888844","4","2","3","1","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Livingston","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"43","32.588132","-88.186329","18","11","13","0","1","0","0","0","0","0","0","0","NULL","0.2821","18","NULL","NULL"
"Andalusia","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"41","31.322947","-86.452262","5","2","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Marion","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"43","32.623734","-87.322041","1","4","1","0","0","0","0","0","0","0","0","0","NULL","0.5587","19","NULL","NULL"
"Fairfield","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"21","33.482442","-86.908751","22","11","11","1","0","0","0","0","0","0","0","0","55","NULL","NULL","NULL","NULL"
"Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"41","30.793247","-88.128934","22","13","11","0","0","0","0","0","0","0","0","0","75","0.4702","20","NULL","NULL"
"Montevallo","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"21","33.10625","-86.865099","19","13","11","0","0","0","0","0","0","0","0","0","NULL","0.6445","20","NULL","NULL"
