"CITY","STABBR","ACCREDAGENCY","SCH_DEG","HCM2","MAIN","NUMBRANCH","CONTROL","REGION","LOCALE","LATITUDE","LONGITUDE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","ADM_RATE","ACTCM25","ACTWR25","ACTWR75"
"Grenada","MS","National Accrediting Commission of Career Arts and Sciences","1",0,0,2,3,5,"41","33.775198","-89.825313","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Raymond","MS","Southern Association of Colleges and Schools Commission on Colleges","1",0,1,1,1,5,"31","32.256109","-90.416118","7","2","4","0","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Goodman","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"42","32.969985","-89.915803","8","3","3","0","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Fulton","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"33","34.276519","-88.412073","1","3","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Jackson","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"12","32.296105","-90.207405","16","11","13","1","0","0","0","0","0","0","0","0","NULL","0.7173","17","NULL","NULL"
"Ellisville","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"32","31.596936","-89.200895","4","3","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Meridian","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"33","32.367355","-88.732823","7","3","3","0","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Jackson","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"12","32.322746","-90.179957","21","14","8","0","0","0","0","0","0","0","0","0","71","0.4895","22","NULL","NULL"
"Moorhead","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"33","33.444906","-90.502053","4","3","2","0","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"University","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,2,1,5,"33","34.365529","-89.537434","15","15","16","0","0","0","0","0","0","0","0","0","NULL","0.8391","22","NULL","NULL"
"Columbus","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"33","33.493305","-88.418601","19","13","10","0","0","0","0","0","0","0","0","0","NULL","0.9802","18","NULL","NULL"
"Itta Bena","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"33","33.514142","-90.341274","20","11","11","1","0","0","0","0","0","0","0","0","NULL","0.8628","16","NULL","NULL"
"Clinton","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"21","32.335515","-90.329821","17","15","14","0","0","0","0","0","0","0","0","0","75","0.3903","22","NULL","NULL"
"Laurel","MS","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"32","31.693316","-89.135405","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Perkinston","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"42","30.780784","-89.142952","4","3","4","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Mississippi State","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"33","33.454852","-88.790139","15","13","16","0","0","0","0","0","0","0","0","0","NULL","0.624","21","NULL","NULL"
"Booneville","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"33","34.668339","-88.562609","4","3","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Senatobia","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"32","34.625532","-89.969525","4","3","4","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Poplarville","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,2,1,5,"43","30.844322","-89.543052","5","3","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Holly Springs","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"32","34.776862","-89.446999","21","14","8","1","0","0","0","0","0","0","0","0","71","0.4322","NULL","NULL","NULL"
"Laurel","MS","Association for Bibical Higher Educaiton","2",0,1,1,2,5,"32","31.748512","-89.149373","24","5","6","0","1","0","0","0","0","0","0","0","54","NULL","NULL","NULL","NULL"
"Summit","MS","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"33","31.295121","-90.443295","4","3","2","0","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Hattiesburg","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"13","31.32661","-89.331236","15","13","16","0","0","0","0","0","0","0","0","0","NULL","0.9843","19","NULL","NULL"
"Jackson","MS","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"12","32.359614","-90.151826","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tougaloo","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"12","32.403014","-90.16076","21","11","8","1","0","0","0","0","0","0","0","0","76","0.7472","16","NULL","NULL"
"Jackson","MS","Commission on Accrediting of the Association of Theological Schools","3",0,1,1,2,5,"12","32.355011","-90.159447","24","0","18","0","0","0","0","0","0","0","0","0","42","NULL","NULL","NULL","NULL"
"Hattiesburg","MS","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"13","31.305264","-89.291815","17","9","13","0","0","0","0","0","0","0","0","0","54","0.4882","21","NULL","NULL"
"Saint Louis","MO","Commission on Accrediting of the Association of Theological Schools","3",0,1,1,2,4,"11","38.634329","-90.237795","24","0","18","0","0","0","0","0","0","0","0","0","30","NULL","NULL","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,1,2,4,"11","38.91339","-94.591758","19","13","10","0","0","0","0","0","0","0","0","0","30","0.3886","19","NULL","NULL"
"Springfield","MO","Higher Learning Commission","3",0,1,1,2,4,"12","37.239696","-93.284286","24","11","8","0","0","0","0","0","0","0","0","0","54","NULL","NULL","NULL","NULL"
"Blue Springs","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,4,3,4,"21","38.997932","-94.272412","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Springfield","MO","Higher Learning Commission","3",0,1,1,2,4,"12","37.225116","-93.290233","26","5","6","0","0","0","0","0","0","0","0","0","NULL","1","NULL","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,1,2,4,"11","38.839578","-94.547927","24","9","7","0","0","0","0","0","0","0","0","0","79","0.7436","19","NULL","NULL"
"Cape Girardeau","MO","Council on Occupational Education","1",0,1,1,1,4,"13","37.274001","-89.565366","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Moberly","MO","Association for Bibical Higher Educaiton","3",0,1,1,2,4,"32","39.395963","-92.427259","24","11","8","0","0","0","0","0","0","0","0","0","48","0.2135","16","NULL","NULL"
"Fayette","MO","Higher Learning Commission","3",0,1,1,2,4,"32","39.150497","-92.685253","22","13","11","0","0","0","0","0","0","0","0","0","71","0.9561","20","NULL","NULL"
"Warrensburg","MO","Higher Learning Commission","3",0,1,1,1,4,"32","38.759111","-93.737428","18","13","13","0","0","0","0","0","0","0","0","0","NULL","0.836","19","NULL","NULL"
"Chillicothe","MO","Council on Occupational Education","1",0,1,1,1,4,"33","39.798864","-93.559669","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","0.9091","NULL","NULL","NULL"
"Overland Park","KS","Higher Learning Commission","3",0,1,1,2,4,"12","38.932019","-94.679076","26","7","6","0","0","0","0","0","0","0","0","0","NULL","0.8","NULL","NULL","NULL"
"Columbia","MO","NULL","1",0,1,1,1,4,"12","38.903705","-92.33669","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","0.8214","NULL","NULL","NULL"
"Columbia","MO","Higher Learning Commission","3",0,1,33,2,4,"12","38.957388","-92.326354","18","5","12","0","0","0","0","0","0","0","0","0","61","NULL","NULL","NULL","NULL"
"Conception","MO","Higher Learning Commission","3",0,1,1,2,4,"42","40.24044","-94.682831","24","11","8","0","0","0","0","0","0","0","1","0","30","1","18","5","8"
"Saint Louis","MO","Commission on Accrediting of the Association of Theological Schools","3",0,1,1,2,4,"21","38.637181","-90.311324","24","0","18","0","0","0","0","0","0","0","0","0","68","NULL","NULL","NULL","NULL"
"Nevada","MO","Higher Learning Commission","2",0,1,1,2,4,"33","37.836127","-94.371311","23","10","8","0","0","0","0","0","0","0","0","1","NULL","0.6409","19","NULL","NULL"
"Saint Louis","MO","Commission on Accrediting of the Association of Theological Schools","3",0,1,1,2,4,"21","38.643066","-90.451323","24","0","18","0","0","0","0","0","0","0","0","0","97","NULL","NULL","NULL","NULL"
"Neosho","MO","Higher Learning Commission","2",0,1,1,1,4,"32","36.814906","-94.368315","2","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Canton","MO","Higher Learning Commission","3",0,1,1,2,4,"43","40.128993","-91.529374","22","10","11","0","0","0","0","0","0","0","0","0","61","0.5466","18","NULL","NULL"
"Springfield","MO","Higher Learning Commission","3",0,1,1,2,4,"12","37.219681","-93.286192","19","9","10","0","0","0","0","0","0","0","0","0","61","0.6608","23","8","10"
"Union","MO","Higher Learning Commission","2",0,1,1,1,4,"41","38.431845","-90.97809","2","2","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Webster Groves","MO","Higher Learning Commission","3",0,1,1,2,4,"21","38.592307","-90.345605","24","0","18","0","0","0","0","0","0","0","0","0","76","NULL","NULL","NULL","NULL"
"Saint Louis","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"21","38.761399","-90.278574","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kansas City","MO","Accrediting Commission of Career Schools and Colleges","1",0,1,2,3,4,"11","38.938335","-94.529762","7","4","1","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Springfield","MO","Higher Learning Commission","3",0,1,2,2,4,"12","37.220956","-93.262614","19","12","11","0","0","0","0","0","0","0","0","0","27","0.9935","19","7","8"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"21","38.642697","-90.315712","18","13","10","0","0","0","0","0","0","0","0","0","30","0.9236","20","NULL","NULL"
"Washington","MO","Council on Occupational Education","1",0,1,1,1,4,"32","38.547707","-91.020914","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Springfield","MO","Higher Learning Commission","2",0,1,1,1,4,"12","37.216479","-93.279985","4","2","4","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Hannibal","MO","Higher Learning Commission","3",0,1,1,2,4,"33","39.729015","-91.39094","22","15","8","0","0","0","0","0","0","0","0","0","75","0.5455","NULL","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,1,4,"11","38.631744","-90.224288","22","11","10","1","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Louis","MO","NULL","2",0,1,1,3,4,"21","38.709638","-90.407513","23","0","7","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kansas City","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"11","39.022905","-94.574262","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Independence","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"21","39.079093","-94.426462","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Hillsboro","MO","Higher Learning Commission","2",0,1,1,1,4,"41","38.259889","-90.558954","4","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Columbia","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"12","38.969222","-92.310417","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"11","38.637165","-90.258772","26","11","6","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,1,2,4,"11","39.046353","-94.583594","30","13","7","0","0","0","0","0","0","0","0","0","NULL","0.6719","20","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"21","38.584608","-90.324024","24","13","8","0","0","0","0","0","0","0","0","0","30","0.7059","NULL","NULL","NULL"
"Kirksville","MO","Higher Learning Commission","3",0,1,1,2,4,"33","40.193648","-92.589183","25","0","18","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Camdenton","MO","Council on Occupational Education","1",0,1,1,1,4,"41","38.005502","-92.732943","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Lexington","MO","Council on Occupational Education","1",0,1,1,1,4,"32","39.173683","-93.865563","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","0.76","NULL","NULL","NULL"
"Jefferson City","MO","Higher Learning Commission","3",0,1,1,1,4,"13","38.564431","-92.166724","22","11","11","1","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Charles","MO","Higher Learning Commission","3",0,1,2,2,4,"13","38.785425","-90.501286","17","13","14","0","0","0","0","0","0","0","0","0","NULL","0.7375","20","6","8"
"Linn","MO","Higher Learning Commission","2",0,1,1,1,4,"42","38.467699","-91.814259","7","3","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Chesterfield","MO","Higher Learning Commission","3",0,1,1,2,4,"21","38.63133","-90.542333","26","5","9","0","0","0","0","0","0","0","0","0","NULL","1","18","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","2",0,1,1,1,4,"11","39.068668","-94.58966","1","2","4","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Louis","MO","NULL","NULL",0,1,1,3,4,"11","38.590249","-90.226539","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","1","NULL","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"21","38.644774","-90.505998","17","9","13","0","0","0","0","0","0","0","0","0","NULL","0.9188","21","NULL","NULL"
"Jefferson City","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"13","38.571057","-92.198801","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Cape Girardeau","MO","Accrediting Council for Independent Colleges and Schools","2",0,1,3,3,4,"13","37.333512","-89.573215","9","3","1","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Fenton","MO","Accrediting Bureau of Health Education Schools","1",0,1,1,3,4,"21","38.544447","-90.436174","10","4","1","0","0","0","0","0","0","0","0","0","NULL","0.9013","NULL","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,1,2,4,"11","39.185691","-94.573185","24","5","10","0","0","0","0","0","0","0","0","0","75","0.9455","20","NULL","NULL"
"Park Hills","MO","Higher Learning Commission","2",0,1,1,1,4,"32","37.845199","-90.481847","1","3","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"21","38.641526","-90.462586","18","11","9","0","0","0","0","0","0","0","0","0","54","0.545","18","NULL","NULL"
"Joplin","MO","Higher Learning Commission","3",0,1,1,1,4,"13","37.095155","-94.461689","22","9","12","0","0","0","0","0","0","0","0","0","NULL","0.9508","19","6","8"
"Marshall","MO","Higher Learning Commission","3",0,1,1,2,4,"33","39.108522","-93.190654","22","15","11","0","0","0","0","0","0","0","0","0","66","0.5365","NULL","NULL","NULL"
"Saint Joseph","MO","Higher Learning Commission","3",0,1,1,1,4,"13","39.7575","-94.785643","19","11","13","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Columbia","MO","Higher Learning Commission","3",0,1,1,1,4,"12","38.94531","-92.328843","15","14","15","0","0","0","0","0","0","0","0","0","NULL","0.7809","23","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,1,1,4,"11","39.034179","-94.582141","16","15","15","0","0","0","0","0","0","0","0","0","NULL","0.6415","21","NULL","NULL"
"Rolla","MO","Higher Learning Commission","3",0,1,1,1,4,"33","37.953426","-91.775583","16","14","13","0","0","0","0","0","0","0","0","0","NULL","0.8351","25","7","8"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,1,4,"21","38.710312","-90.311091","16","9","12","0","0","0","0","0","0","0","0","0","NULL","0.7594","22","NULL","NULL"
"Moberly","MO","Higher Learning Commission","2",0,1,1,1,4,"32","39.418607","-92.455064","2","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Joseph","MO","Council on Occupational Education","1",0,1,1,1,4,"13","39.768022","-94.808721","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","0.4769","NULL","NULL","NULL"
"Kansas City","MO","Commission on Accrediting of the Association of Theological Schools","3",0,1,1,2,4,"11","39.009265","-94.565781","24","0","18","0","0","0","0","0","0","0","0","0","59","NULL","NULL","NULL","NULL"
"Neosho","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"32","36.870562","-94.368636","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kirksville","MO","Higher Learning Commission","3",0,1,1,1,4,"33","40.188267","-92.581658","19","14","14","0","0","0","0","0","0","0","0","0","NULL","0.6749","24","NULL","NULL"
"Maryville","MO","Higher Learning Commission","3",0,1,1,1,4,"33","40.351692","-94.883339","18","12","14","0","0","0","0","0","0","0","0","0","NULL","0.7411","20","NULL","NULL"
"Joplin","MO","Association for Bibical Higher Educaiton","3",0,1,1,2,4,"13","37.103172","-94.510622","24","9","7","0","0","0","0","0","0","0","0","0","48","0.4922","19","NULL","NULL"
"Point Lookout","MO","Higher Learning Commission","3",0,1,1,2,4,"32","36.616019","-93.238174","22","12","11","0","0","0","0","0","0","0","0","0","102","0.1348","21","NULL","NULL"
"Parkville","MO","Higher Learning Commission","3",0,1,1,2,4,"21","39.189256","-94.679041","18","5","12","0","0","0","0","0","0","0","0","0","NULL","0.6904","NULL","NULL","NULL"
"Saint Louis","MO","Accrediting Commission of Career Schools and Colleges","3",0,1,1,3,4,"11","38.632917","-90.201157","29","7","6","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Poplar Bluff","MO","Council on Occupational Education","1",0,1,1,1,4,"33","36.793776","-90.450477","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","2",0,1,1,2,4,"11","38.653303","-90.248465","14","7","9","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,1,3,4,"11","39.006611","-94.556762","26","0","7","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,1,2,4,"11","39.032318","-94.573003","18","15","11","0","0","0","0","0","0","0","0","0","30","0.7246","22","NULL","NULL"
"Rolla","MO","Council on Occupational Education","1",0,1,1,1,4,"33","37.947448","-91.748741","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","0.9348","NULL","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"11","38.636801","-90.2351","16","14","17","0","0","0","0","0","0","0","0","0","30","0.6443","25","NULL","NULL"
"Rolla","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"33","37.944067","-91.785219","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Sedalia","MO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"33","38.711715","-93.269026","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Sikeston","MO","NULL","1",0,1,1,1,4,"32","36.879979","-89.571513","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Florissant","MO","Association for Bibical Higher Educaiton","3",0,1,1,2,4,"21","38.775771","-90.294569","24","11","8","0","0","0","0","0","0","0","0","0","48","0.24","16","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"11","38.636904","-90.260617","26","15","11","0","0","0","0","0","0","0","0","0","NULL","0.7202","24","NULL","NULL"
"Bridgeton","MO","Higher Learning Commission","2",0,1,1,1,4,"21","38.745678","-90.437078","2","1","5","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Leawood","KS","Higher Learning Commission","3",0,1,1,2,4,"21","38.880458","-94.641277","24","0","18","0","0","0","0","0","0","0","0","0","71","NULL","NULL","NULL","NULL"
"Bolivar","MO","Higher Learning Commission","3",0,1,1,2,4,"32","37.602425","-93.407056","19","9","10","0","0","0","0","0","0","0","0","0","75","0.732","20","NULL","NULL"
"West Plains","MO","Higher Learning Commission","2",0,1,1,1,4,"33","36.729574","-91.857838","2","2","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,1,2,4,"11","39.051884","-94.594656","26","11","6","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Louis","MO","Accrediting Bureau of Health Education Schools","1",0,1,2,3,4,"11","38.63155","-90.26194","10","2","1","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Sedalia","MO","Higher Learning Commission","2",0,1,1,1,4,"33","38.696423","-93.268028","1","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Columbia","MO","Higher Learning Commission","3",0,1,1,2,4,"12","38.95204","-92.319204","20","13","8","0","0","0","0","0","0","0","0","1","NULL","0.5311","19","NULL","NULL"
"Cape Girardeau","MO","Higher Learning Commission","3",0,1,1,1,4,"13","37.311107","-89.531187","18","13","13","0","0","0","0","0","0","0","0","0","NULL","0.8455","20","NULL","NULL"
"Springfield","MO","Higher Learning Commission","3",0,1,1,1,4,"12","37.199258","-93.281281","17","13","15","0","0","0","0","0","0","0","0","0","NULL","0.8404","21","NULL","NULL"
"Poplar Bluff","MO","Higher Learning Commission","1",0,1,1,1,4,"33","36.776571","-90.429769","1","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Trenton","MO","Higher Learning Commission","2",0,1,1,1,4,"33","40.078096","-93.617353","6","1","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kansas City","MO","Higher Learning Commission","3",0,1,2,2,4,"11","39.107553","-94.561374","25","0","18","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"21","38.647929","-90.310604","15","14","17","0","0","0","0","0","0","0","0","0","NULL","0.1596","32","8","10"
"Saint Louis","MO","Higher Learning Commission","3",0,1,1,2,4,"21","38.588875","-90.345151","18","9","13","0","0","0","0","0","0","0","0","0","NULL","0.5356","21","NULL","NULL"
"Fulton","MO","Higher Learning Commission","3",0,1,1,2,4,"32","38.849354","-91.955273","21","12","8","0","0","0","0","0","0","0","0","0","66","0.9014","21","NULL","NULL"
"Liberty","MO","Higher Learning Commission","3",0,1,1,2,4,"21","39.247844","-94.413126","22","14","8","0","0","0","0","0","0","0","0","0","NULL","0.4763","23","NULL","NULL"
"Fulton","MO","Higher Learning Commission","3",0,1,1,2,4,"32","38.860287","-91.950416","17","13","11","0","0","0","0","0","0","0","0","0","61","0.7486","20","NULL","NULL"
"Bozeman","MT","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,7,"33","45.680544","-111.039848","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Browning","MT","Northwest Commission on Colleges and Universities","2",0,1,1,2,7,"41","48.551927","-113.009387","33","3","1","0","0","0","1","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Butte","MT","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,7,"33","46.01274","-112.540982","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Butte","MT","Northwest Commission on Colleges and Universities","3",0,0,2,1,7,"33","45.938145","-112.509365","8","2","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kalispell","MT","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,7,"33","48.201201","-114.319109","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Helena","MT","Northwest Commission on Colleges and Universities","3",0,1,1,2,7,"33","46.600771","-112.040285","22","14","11","0","0","0","0","0","0","0","0","0","30","0.7781","22","6","9"
"Glendive","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"33","47.085396","-104.725485","3","3","1","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Lame Deer","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"43","45.625568","-106.664593","33","2","1","0","0","0","1","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Billings","MT","Northwest Commission on Colleges and Universities","3",0,1,2,1,7,"12","45.796896","-108.523009","19","7","12","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kalispell","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"41","48.227389","-114.327258","6","1","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Harlem","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"43","48.484196","-108.757816","33","3","1","0","0","0","1","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Poplar","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"33","48.113569","-105.193021","33","3","1","0","0","0","1","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Great Falls","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"13","47.485581","-111.269558","5","1","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Great Falls","MT","Northwest Commission on Colleges and Universities","3",0,1,1,2,7,"13","47.490713","-111.270604","22","5","7","0","0","0","0","0","0","0","0","0","30","0.616","NULL","NULL","NULL"
"Helena","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"33","46.595384","-112.016035","8","1","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Crow Agency","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"43","45.603781","-107.455421","33","3","1","0","0","0","1","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Miles City","MT","Northwest Commission on Colleges and Universities","2",0,1,1,1,7,"33","46.40526","-105.826524","5","3","1","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
